document_id,source_pdf,sha256,report_type,reporting_year,reporting_month,page_count,extraction_method,status,extracted_row_count,warnings,failures
FRApril2025_0,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRApril2025_0.pdf,58049244170b9d8c0588ccf660e79e7b56bfc7e60a333f784e6e08392cf81eef,unknown_report,2025,4,273,pdfplumber,success,1861,,
FRFebruary2025,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,unknown_report,2025,2,251,pdfplumber,success,1873,,
FRJanuary2025,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRJanuary2025.pdf,c11e9b2bc0d0272b43a33c1e63d2ef931a09dc8751c035d1f7e2d4f85ba8973c,flash_report,2025,1,0,pdfplumber,warning,0,no_project_rows_extracted,No /Root object! - Is this really a PDF?
FRMarch2025_0,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRMarch2025_0.pdf,0eadcd75710a8f8221189047161de51d5017038f1a2a4c1f50f9457857ba3eb0,unknown_report,2025,3,244,pdfplumber,success,1867,,
FR_May2025_0,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FR_May2025_0.pdf,1326fc47d272e8f2225db45645bd1dd4eacee1ab4a15bff8a1f6edfc70b45171,unknown_report,2025,5,212,pdfplumber,success,1826,,
publications_reports1756205845020_02889be0-ee2a-48e5-a4bd-f381340b5d88_FR_JUNE_2025-compressed,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/publications_reports1756205845020_02889be0-ee2a-48e5-a4bd-f381340b5d88_FR_JUNE_2025-compressed.pdf,0d06a793906fe97ff1b081574f4b3d8d3887d2e4f424a0d20204d9d7f0a9214e,unknown_report,2025,6,234,pdfplumber,success,1776,,
publications_reports1756206154816_7c606055-2946-4b96-b9ef-ab36ab17412e_FlashReport_July_2025,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/publications_reports1756206154816_7c606055-2946-4b96-b9ef-ab36ab17412e_FlashReport_July_2025.pdf,20599d92c3e417e6a51dda2a3f95d2878dbe5927bac807d640194922df165446,flash_report,2025,7,67,pdfplumber,warning,0,no_project_rows_extracted,
publications_reports1757323195920_0a3b66ed-cd2a-416c-af7c-3a5a15b4b2a3_Review_Report_June_2025,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/publications_reports1757323195920_0a3b66ed-cd2a-416c-af7c-3a5a15b4b2a3_Review_Report_June_2025.pdf,1006e89776e76096ce749557d1a6b8d8ad05d2297d6807395bba560b991bf6b6,review_report,2025,6,50,pdfplumber,warning,0,no_project_rows_extracted,
publications_reports1758720724938_7caac9b7-b02f-4da9-9d44-88497e5004d2_FlashReport_August_2025_c,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/publications_reports1758720724938_7caac9b7-b02f-4da9-9d44-88497e5004d2_FlashReport_August_2025_c.pdf,bdbc84a312bf10fb3af060bb50503461b37a833f01234ba800f52f7b5f19a7f8,flash_report,2025,8,67,pdfplumber,warning,0,no_project_rows_extracted,
publications_reports1758720829831_417e80d2-793a-4435-bbec-bfa85e99d51b_Review_Report_July_2025,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/publications_reports1758720829831_417e80d2-793a-4435-bbec-bfa85e99d51b_Review_Report_July_2025.pdf,f8c7f4613e12747444563c56d5f0eda4b6d8d2500af600280ce8500100824320,review_report,2025,7,56,pdfplumber,warning,0,no_project_rows_extracted,
