document_id,archive_filename,archive_sha256,source_pdf,reporting_year,reporting_month,review_required
DOC-001,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/FRApril2025_0.pdf,2025,4,false
DOC-002,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/FRFebruary2025.pdf,2025,2,false
DOC-003,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/FRJanuary2025.pdf,2025,1,false
DOC-004,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/FRMarch2025_0.pdf,2025,3,false
DOC-005,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/FR_May2025_0.pdf,2025,5,false
DOC-006,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1756205845020_02889be0-ee2a-48e5-a4bd-f381340b5d88_FR_JUNE_2025-compressed.pdf,2025,6,false
DOC-007,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1756206154816_7c606055-2946-4b96-b9ef-ab36ab17412e_FlashReport_July_2025.pdf,2025,7,false
DOC-008,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1757323195920_0a3b66ed-cd2a-416c-af7c-3a5a15b4b2a3_Review_Report_June_2025.pdf,2025,6,false
DOC-009,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1758720724938_7caac9b7-b02f-4da9-9d44-88497e5004d2_FlashReport_August_2025_c.pdf,2025,8,false
DOC-010,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1758720829831_417e80d2-793a-4435-bbec-bfa85e99d51b_Review_Report_July_2025.pdf,2025,7,false
DOC-011,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1760599251105_6687210c-4bc0-432f-88e9-c6366895e5ed_FlashReport_September_2025.pdf,2025,9,false
DOC-012,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1763360542965_2f205d1a-a299-4ecc-bd8e-90be1b136d0a_FlashReport_October_2025.pdf,2025,10,false
DOC-013,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1763361645425_e6de1595-4fa0-49d5-8ee9-a3fbf7af5da9_FlashReport_September_2025_(1).pdf,2025,9,false
DOC-014,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1766750411889_7ee823bf-ce0a-428c-9c38-4f12ee328f76_FlashReport_November_2025.pdf,2025,11,false
DOC-015,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1769671627281_5812a634-546b-405d-921c-f84c4da453dc_FlashReport_December_2025.pdf,2025,12,false
DOC-016,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1772017844123_8f224826-9294-4ae7-abf9-8e7d6d18f4a4_FlashReport_January_2026.pdf,2026,1,false
DOC-017,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1777023713556_6e42b5c9-26c0-4301-8b74-7a12428cc83d_FlashReport_March_2026.pdf,2026,3,false
DOC-018,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1779688125413_332125c5-1fb9-4d23-87ca-dd89fc14cd15_Flash_Report_April_2026.pdf,2026,4,false
DOC-019,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1782388627305_2544b8eb-3ea2-40eb-ab6e-b150c40c4a9e_FlashReport_May_2026.pdf,2026,5,false
DOC-020,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1785229543014_f9b01e19-0a7a-4975-9276-34e02259c2e0_FlashReport_June_2026_.pdf,2026,6,false
DOC-021,zip.rar,30a5e4e249f3de0c8efae455522efa4d3ea2f48230dba91f837adbaadb8418a8,data/raw/paimana/zip/publications_reports1787656864174_db1695c9-b038-4c20-964f-8cf5f2cdda5f_FlashReport_July_2026_.pdf,2026,7,false
