project_id,project_name,state,sector,original_cost_raw,original_cost,revised_cost_raw,revised_cost,anticipated_cost_raw,anticipated_cost,expenditure_raw,expenditure,physical_progress_raw,physical_progress,reporting_year,reporting_month,reporting_period,source_pdf,source_page,document_id,file_hash,extraction_method,source_table,project_status,progress_delta_1m,expenditure_delta_1m,progress_mean_3m,progress_std_3m,stagnant_months_3m,observations_to_date,months_elapsed,reporting_gap_months,next_period,implementation_risk_target,cost_overrun_target,prediction_period
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",,CIVIL AVIATION,417.23 (707.73) {707.73},417.23,417.23 (707.73) {707.73},707.73,417.23 (707.73) {707.73},707.73,698.80,698.8,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,42,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,0.0,0,0,0,2025-03,1,1.0,2025-02
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",,CIVIL AVIATION,417.23 (707.73) {707.73},417.23,417.23 (707.73) {707.73},707.73,417.23 (707.73) {707.73},707.73,698.80,698.8,100.00,100.0,2025,3,2025-03,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRMarch2025_0.pdf,40,FRMarch2025_0,0eadcd75710a8f8221189047161de51d5017038f1a2a4c1f50f9457857ba3eb0,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,0.0,1,1,0,2025-04,1,1.0,2025-03
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",ANDAMAN AND,CIVIL AVIATION,417.23 (707.73) {707.73},417.23,417.23 (707.73) {707.73},707.73,417.23 (707.73) {707.73},707.73,698.80,698.8,100.00,100.0,2025,4,2025-04,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRApril2025_0.pdf,43,FRApril2025_0,58049244170b9d8c0588ccf660e79e7b56bfc7e60a333f784e6e08392cf81eef,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,1.0,2,2,0,2025-05,1,1.0,2025-04
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",ANDAMAN AND,CIVIL AVIATION,417.23 (707.73) {707.73},417.23,417.23 (707.73) {707.73},707.73,417.23 (707.73) {707.73},707.73,698.80,698.8,100.00,100.0,2025,5,2025-05,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FR_May2025_0.pdf,43,FR_May2025_0,1326fc47d272e8f2225db45645bd1dd4eacee1ab4a15bff8a1f6edfc70b45171,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,2.0,3,3,0,2025-06,1,1.0,2025-05
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",,"1,542.89",1542.89,69.50,69.5,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,202,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed,0.0,0.0,69.5,0.0,0.0,0,0,0,2025-03,0,0.0,2025-02
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",,"1,580.73",1580.73,70.00,70.0,2025,3,2025-03,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRMarch2025_0.pdf,196,FRMarch2025_0,0eadcd75710a8f8221189047161de51d5017038f1a2a4c1f50f9457857ba3eb0,pdfplumber,project_table,observed,0.5,37.83999999999992,69.5,0.0,0.0,1,1,0,2025-04,1,0.0,2025-03
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,CIVIL AVIATION,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",,"1,586.75",1586.75,70.00,70.0,2025,4,2025-04,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRApril2025_0.pdf,220,FRApril2025_0,58049244170b9d8c0588ccf660e79e7b56bfc7e60a333f784e6e08392cf81eef,pdfplumber,project_table,observed,0.0,6.019999999999982,69.75,0.3535533905932738,0.0,2,2,0,2025-05,0,0.0,2025-04
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,CIVIL AVIATION,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",2467.0,"2,467.00 (N.A.) {2,467.00}",,"1,601.60",1601.6,71.00,71.0,2025,5,2025-05,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FR_May2025_0.pdf,171,FR_May2025_0,1326fc47d272e8f2225db45645bd1dd4eacee1ab4a15bff8a1f6edfc70b45171,pdfplumber,project_table,observed,1.0,14.849999999999909,69.83333333333333,0.2886751345948139,1.0,3,3,0,2025-06,0,0.0,2025-05
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,,,"951.28 (1,112.49) {1,112.49}",951.28,"951.28 (1,112.49) {1,112.49}",1112.49,"951.28 (1,112.49) {1,112.49}",1112.49,"1,112.49",1112.49,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,202,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,0.0,0,0,0,2025-03,1,1.0,2025-02
N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",,CIVIL AVIATION,303.80 (374.98) {351.21},303.8,303.80 (374.98) {351.21},374.98,303.80 (374.98) {351.21},351.21,340.71,340.71,100.00,100.0,2025,2,2025-02,/Users/nikhil/Desktop/SIH/NIRMAN AI/data/raw/paimana/zip/FRFebruary2025.pdf,83,FRFebruary2025,f0169da66793c59294c54be8423d4701a6e6beea2206bf28abd801858e32c525,pdfplumber,project_table,observed,0.0,0.0,100.0,0.0,0.0,0,0,0,2025-03,1,1.0,2025-02
